Date	Pump
1954-01-01	0.645161
1955-01-01	1.2903200000000001
1956-01-01	3.22052
1957-01-01	2.58065
1958-01-01	5.80645
1959-01-01	14.1935
1960-01-01	10.3332
1961-01-01	17.4194
1962-01-01	17.4194
1963-01-01	20.6452
1964-01-01	22.5754
1965-01-01	12.9032
1966-01-01	23.871
1967-01-01	34.8387
1968-01-01	47.7067
1969-01-01	52.2581
1970-01-01	53.9769
1971-01-01	55.6958
1972-01-01	57.4146
1973-01-01	69.6774
1974-01-01	70.9677
1975-01-01	72.2581
1976-01-01	94.1336
1977-01-01	103.737
1978-01-01	125.778
1979-01-01	131.916
1980-01-01	71.8245
1981-01-01	71.8335
1982-01-01	71.996
1983-01-01	71.955
1984-01-01	71.9945
1985-01-01	68.486
1986-01-01	62.486
1987-01-01	65.4655
1988-01-01	66.9755
1989-01-01	67.5065
1990-01-01	70.486
1991-01-01	144.133
1992-01-01	148.112
1993-01-01	166.666
1994-01-01	209.065
1995-01-01	236.065
1996-01-01	257.477
1997-01-01	262.219
1998-01-01	192.961
1999-01-01	196.033
2000-01-01	196.896
2001-01-01	200.15
2002-01-01	179.729
2003-01-01	146.369
2004-01-01	144.013
2005-01-01	114.882
2006-01-01	101.324
2007-01-01	106.376
2008-01-01	113.401
2009-01-01	81.8694
2010-01-01	50.0
2011-01-01	50.0
2012-01-01	50.0
2013-01-01	50.0
2014-01-01	50.0
2015-01-01	50.0
2016-01-01	50.0
2017-01-01	50.0
2018-01-01	50.0
2019-01-01	50.0
2020-01-01	50.0
2021-01-01	50.0
2022-01-01	50.0
2023-01-01	50.0
2024-01-01	50.0
2025-01-01	50.0
2026-01-01	50.0
2027-01-01	50.0
2028-01-01	50.0
2029-01-01	50.0
2030-01-01	50.0
2031-01-01	50.0
2032-01-01	50.0
2033-01-01	50.0
2034-01-01	50.0
2035-01-01	50.0
2036-01-01	50.0
2037-01-01	50.0
2038-01-01	50.0
2039-01-01	50.0
2040-01-01	50.0
2041-01-01	50.0
2042-01-01	50.0
2043-01-01	50.0
2044-01-01	50.0
2045-01-01	50.0
2046-01-01	50.0
2047-01-01	50.0
2048-01-01	50.0
2049-01-01	50.0
2050-01-01	50.0
2051-01-01	50.0
2052-01-01	50.0
2053-01-01	50.0
2054-01-01	50.0
2055-01-01	50.0
2056-01-01	50.0
2057-01-01	50.0
2058-01-01	50.0
2059-01-01	50.0
2060-01-01	50.0
