	AnnRates
1978-12-31	-0.0009006797247576792
1979-12-31	-0.0008755680881206956
1980-12-31	-0.0008505803625334747
1981-12-31	-0.000821405951772828
1982-12-31	-0.0007965954907623481
1983-12-31	-16.596795372034997
1984-12-31	-4.549744266615583
1985-12-31	-1.939076656596498
1986-12-31	-1.091601224332532
1987-12-31	-0.7516382889685858
1988-12-31	-0.5658353157096165
1989-12-31	-0.4509029714236661
1990-12-31	-0.3781063270277798
1991-12-31	-0.3241585148583539
1992-12-31	-0.28773412027571865
1993-12-31	3.355941942652109
1994-12-31	0.8347689576017245
1995-12-31	0.11463081338348857
1996-12-31	0.04510436068924761
1997-12-31	0.02938111518991704
1998-12-31	0.022440379666594623
1999-12-31	0.017797953930251964
2000-12-31	0.014588222884171387
2001-12-31	0.011884376476825054
2002-12-31	0.009689359666186448
2003-12-31	0.007971299482690597
2004-12-31	0.006510945177616634
2005-12-31	0.005323071626420983
2006-12-31	0.004373038995723277
2007-12-31	0.003555565607374689
2008-12-31	0.0029336540137876455
2009-12-31	0.0023909507986488165
2010-12-31	0.0019540409536773495
2011-12-31	0.0016077424690372766
2012-12-31	0.0013110598557233288
2013-12-31	0.0010737780108271977
2014-12-31	0.0008806921382209509
2015-12-31	0.0007172817802967302
2016-12-31	0.0005917724773354394
2017-12-31	0.0004814809935638209
2018-12-31	0.0003941853431257414
2019-12-31	0.0003242971721562071
