	CumTotSum
1978-12-31	-0.0009006797247583872
1979-12-31	-0.00177624781287892
1980-12-31	-0.00262682817541282
1981-12-31	-0.003448234127185421
1982-12-31	-0.004244829617948014
1983-12-31	-16.601040201652932
1984-12-31	-21.150784468268515
1985-12-31	-23.089861124865017
1986-12-31	-24.18146234919755
1987-12-31	-24.933100638166138
1988-12-31	-25.49893595387575
1989-12-31	-25.94983892529942
1990-12-31	-26.327945252327204
1991-12-31	-26.65210376718555
1992-12-31	-26.939837887461273
1993-12-31	-23.58389594480916
1994-12-31	-22.749126987207436
1995-12-31	-22.634496173823948
1996-12-31	-22.5893918131347
1997-12-31	-22.560010697944787
1998-12-31	-22.537570318278192
1999-12-31	-22.519772364347936
2000-12-31	-22.505184141463765
2001-12-31	-22.49329976498694
2002-12-31	-22.483610405320757
2003-12-31	-22.47563910583806
2004-12-31	-22.46912816066045
2005-12-31	-22.463805089034025
2006-12-31	-22.459432050038302
2007-12-31	-22.45587648443093
2008-12-31	-22.45294283041714
2009-12-31	-22.450551879618494
2010-12-31	-22.44859783866481
2011-12-31	-22.446990096195776
2012-12-31	-22.445679036340053
2013-12-31	-22.444605258329226
2014-12-31	-22.443724566191
2015-12-31	-22.443007284410704
2016-12-31	-22.44241551193337
2017-12-31	-22.441934030939805
2018-12-31	-22.44153984559668
2019-12-31	-22.441215548424523
