	CumTotSum
1978-12-31	-0.0005020623900403165
1979-12-31	-0.0009903353994603497
1980-12-31	-0.0014647774429236715
1981-12-31	-0.0019230265657070107
1982-12-31	-0.002367492938815099
1983-12-31	-1.5964497153487476
1984-12-31	-2.083953037756774
1985-12-31	-2.2857021733125875
1986-12-31	-2.396926137523768
1987-12-31	-2.472708682002271
1988-12-31	-2.529487254104089
1989-12-31	-2.5746626218526836
1990-12-31	-2.6125353825402917
1991-12-31	-2.6450114925152515
1992-12-31	-2.673848015772886
1993-12-31	-2.350316580433085
1994-12-31	-2.2598892577957996
1995-12-31	-2.248674552883748
1996-12-31	-2.2442267651311756
1997-12-31	-2.241423176666321
1998-12-31	-2.239298396135296
1999-12-31	-2.2376179813034365
2000-12-31	-2.236241763166875
2001-12-31	-2.235120936197013
2002-12-31	-2.2342072069842023
2003-12-31	-2.2334555159017864
2004-12-31	-2.2328415417273506
2005-12-31	-2.2323395840835745
2006-12-31	-2.231927213493662
2007-12-31	-2.231591929451458
2008-12-31	-2.231315290687017
2009-12-31	-2.2310898279540945
2010-12-31	-2.230905565103993
2011-12-31	-2.230753957632337
2012-12-31	-2.230630326843518
2013-12-31	-2.2305290713425863
2014-12-31	-2.2304460235219827
2015-12-31	-2.230378385029456
2016-12-31	-2.2303225818578363
2017-12-31	-2.2302771789917952
2018-12-31	-2.2302400079620592
2019-12-31	-2.2302094272719346
