	CumTotSum
1978-12-31	-0.0009740494639604009
1979-12-31	-0.0019209708108369966
1980-12-31	-0.0028408907334765577
1981-12-31	-0.0037292752217757503
1982-12-31	-0.0045908386695662565
1983-12-31	-17.827943681015594
1984-12-31	-21.41547172562794
1985-12-31	-23.13688660703847
1986-12-31	-24.162473492355456
1987-12-31	-24.889240549747896
1988-12-31	-25.444162987549007
1989-12-31	-25.889166522343118
1990-12-31	-26.263418130531434
1991-12-31	-26.58483146577081
1992-12-31	-26.870440405976375
1993-12-31	-24.61273104574336
1994-12-31	-22.80223927752987
1995-12-31	-22.637704544281306
1996-12-31	-22.584091229333517
1997-12-31	-22.552278155669857
1998-12-31	-22.528541184472274
1999-12-31	-22.509839951979938
2000-12-31	-22.49453558799002
2001-12-31	-22.48207362337607
2002-12-31	-22.47191473759662
2003-12-31	-22.463557489409073
2004-12-31	-22.456731389446293
2005-12-31	-22.451150682203682
2006-12-31	-22.446565994690072
2007-12-31	-22.442838346623272
2008-12-31	-22.43976270984812
2009-12-31	-22.437256042106092
2010-12-31	-22.43520742974704
2011-12-31	-22.4335218759866
2012-12-31	-22.432147363644546
2013-12-31	-22.431021617080525
2014-12-31	-22.43009830133145
2015-12-31	-22.429346304651233
2016-12-31	-22.428725891655088
2017-12-31	-22.428221108014007
2018-12-31	-22.427807844945633
2019-12-31	-22.427467852485822
