	CumTotSum
1978-12-31	-0.0008970083070510176
1979-12-31	-0.0017690103178558826
1980-12-31	-0.002616128684635394
1981-12-31	-0.00343419314369089
1982-12-31	-0.0042275493399426475
1983-12-31	-17.204504670198364
1984-12-31	-21.28982340948636
1985-12-31	-23.119768509910276
1986-12-31	-24.178425258120836
1987-12-31	-24.91770861168881
1988-12-31	-25.478161203318976
1989-12-31	-25.926177387947916
1990-12-31	-26.302410372325294
1991-12-31	-26.62524291682838
1992-12-31	-26.911955795187406
1993-12-31	-23.463071452787563
1994-12-31	-22.72127076808199
1995-12-31	-22.609843508240985
1996-12-31	-22.565143637882723
1997-12-31	-22.535841201543313
1998-12-31	-22.513427857641354
1999-12-31	-22.495643699851907
2000-12-31	-22.481065239586606
2001-12-31	-22.46918843209975
2002-12-31	-22.459505149462778
2003-12-31	-22.45153882697494
2004-12-31	-22.445031940834085
2005-12-31	-22.439712186172837
2006-12-31	-22.435341871740363
2007-12-31	-22.431788521267375
2008-12-31	-22.42885669490626
2009-12-31	-22.426467233650843
2010-12-31	-22.42451441004696
2011-12-31	-22.42290766918637
2012-12-31	-22.42159742610845
2013-12-31	-22.42052431705106
2014-12-31	-22.419644173575616
2015-12-31	-22.418927338655003
2016-12-31	-22.41833593484625
2017-12-31	-22.41785475381074
2018-12-31	-22.41746081404131
2019-12-31	-22.417136718903183
