	CumTotSum
1978-12-31	-0.000900679724758608
1979-12-31	-0.0017762478128797846
1980-12-31	-0.0026268281754144294
1981-12-31	-0.003448234127187347
1982-12-31	-0.004244829617949946
1983-12-31	-16.60104020165295
1984-12-31	-21.150784468268526
1985-12-31	-23.08986112486502
1986-12-31	-24.18146234919756
1987-12-31	-24.93310063816615
1988-12-31	-25.49893595387576
1989-12-31	-25.949838925299428
1990-12-31	-26.327945252327208
1991-12-31	-26.652103767185555
1992-12-31	-26.93983788746128
1993-12-31	-23.583895944809164
1994-12-31	-22.74912698720744
1995-12-31	-22.634496173823955
1996-12-31	-22.589391813134704
1997-12-31	-22.560010697944794
1998-12-31	-22.537570318278195
1999-12-31	-22.519772364347943
2000-12-31	-22.505184141463772
2001-12-31	-22.493299764986944
2002-12-31	-22.48361040532076
2003-12-31	-22.475639105838063
2004-12-31	-22.46912816066045
2005-12-31	-22.46380508903403
2006-12-31	-22.45943205003831
2007-12-31	-22.45587648443093
2008-12-31	-22.452942830417143
2009-12-31	-22.450551879618498
2010-12-31	-22.448597838664817
2011-12-31	-22.44699009619578
2012-12-31	-22.445679036340053
2013-12-31	-22.444605258329226
2014-12-31	-22.44372456619101
2015-12-31	-22.44300728441071
2016-12-31	-22.442415511933376
2017-12-31	-22.441934030939812
2018-12-31	-22.441539845596687
2019-12-31	-22.44121554842453
