	CumTotSum
1978-12-31	-0.0004752840943301768
1979-12-31	-0.0009375136823923207
1980-12-31	-0.0013866481955682494
1981-12-31	-0.0018204521939766552
1982-12-31	-0.0022412077275301722
1983-12-31	-1.6217839315695504
1984-12-31	-2.089797689496353
1985-12-31	-2.2860029912808955
1986-12-31	-2.3955241112226107
1987-12-31	-2.4706368545594515
1988-12-31	-2.5271001257991497
1989-12-31	-2.5720905823540017
1990-12-31	-2.609833278858247
1991-12-31	-2.6422100792499092
1992-12-31	-2.670964935253733
1993-12-31	-2.3433080287751804
1994-12-31	-2.2573151666499944
1995-12-31	-2.246323451209068
1996-12-31	-2.241891067418532
1997-12-31	-2.239082124758143
1998-12-31	-2.2369505208127216
1999-12-31	-2.2352640253085543
2000-12-31	-2.233882680725027
2001-12-31	-2.232757640730054
2002-12-31	-2.2318404673777668
2003-12-31	-2.2310859405916146
2004-12-31	-2.23046964959181
2005-12-31	-2.229965797653296
2006-12-31	-2.2295518708099182
2007-12-31	-2.2292153214205728
2008-12-31	-2.228937638630687
2009-12-31	-2.228711325008104
2010-12-31	-2.2285263667552515
2011-12-31	-2.228374187121255
2012-12-31	-2.2282500897532946
2013-12-31	-2.228148452116928
2014-12-31	-2.2280650908761657
2015-12-31	-2.2279971971178543
2016-12-31	-2.227941183346621
2017-12-31	-2.22789560913143
2018-12-31	-2.227858297819264
2019-12-31	-2.2278276017184684
